scenario,method,E,rounds,n,F1_mean,F1_se,active_mean,active_se,objective_gap_mean,objective_gap_se,kkt_mapping_mean,kkt_mapping_se,test_mse_mean,test_mse_se
Correlated,Pooled-common,0,0,50,0.7144108037345805,0.011768815455348896,43.32,1.9638446258005529,0.0,0.0,1.8998626144517417e-11,1.0760374992700296e-12,27.398244272989324,0.5282805373362932
Heterogeneous,FedAvg-CD-common,1,5,50,0.23371652410310698,0.007851549005766423,184.98,10.838988204907432,3.124626475095399,0.08607615355217135,0.39538264971155634,0.015634616214796622,44.77442387483674,0.8215093350338506
Heterogeneous,FedAvg-CD-common,1,10,50,0.2338347116957502,0.00784444897476927,184.84,10.828132671096025,3.1219367613163866,0.08606772007291184,0.3953598280885621,0.015637210225021674,44.77112010287157,0.821745573978404
Heterogeneous,FedAvg-CD-common,1,20,50,0.2338347116957502,0.00784444897476927,184.84,10.828132671096025,3.1219267582491494,0.08606789674582924,0.39535951424372473,0.015637228161771047,44.77111788316935,0.8217447598265021
Heterogeneous,FedAvg-CD-common,1,50,50,0.2338347116957502,0.00784444897476927,184.84,10.828132671096025,3.121926759525371,0.08606789669689817,0.39535951377230555,0.015637228148658363,44.771117892540225,0.8217447583941433
Heterogeneous,FedAvg-CD-common,1,100,50,0.2338347116957502,0.00784444897476927,184.84,10.828132671096025,3.121926759525371,0.08606789669689817,0.3953595137723054,0.015637228148658363,44.771117892540225,0.8217447583941433
Heterogeneous,FedAvg-CD-common,5,5,50,0.2774278579139206,0.0074155929985059085,138.46,8.231111215184416,2.448175411722465,0.06596727630860766,0.4080132334808346,0.016148704048675487,44.912655818794384,0.8035618033193926
Heterogeneous,FedAvg-CD-common,5,10,50,0.2774278579139206,0.0074155929985059085,138.46,8.231111215184416,2.4481666074505375,0.06596673691798575,0.4080124624345531,0.016148688956272413,44.91264878005242,0.8035621954717472
Heterogeneous,FedAvg-CD-common,5,20,50,0.2774278579139206,0.0074155929985059085,138.46,8.231111215184416,2.4481666027742492,0.06596673647796485,0.40801246215310505,0.016148688969003164,44.91264878036555,0.8035621951592236
Heterogeneous,FedAvg-CD-common,5,50,50,0.2774278579139206,0.0074155929985059085,138.46,8.231111215184416,2.4481666027742444,0.06596673647796437,0.40801246215310494,0.016148688969003167,44.91264878036555,0.8035621951592223
Heterogeneous,FedAvg-CD-common,5,100,50,0.2774278579139206,0.0074155929985059085,138.46,8.231111215184416,2.448166602774245,0.06596673647796428,0.40801246215310494,0.016148688969003164,44.91264878036555,0.8035621951592221
